Interval,Voltage Value at 10Khz sampling Rate
11:42:25,-0.1513694972152285
11:42:25,2.866254673075456
11:42:25,4.516670481422141
11:42:25,4.7022201876859695
11:42:26,2.87357900358587
11:42:26,-0.0073243305104142824
11:42:26,-2.895551995117113
11:42:26,-4.492256046387427
11:42:26,-4.514229037918669
11:42:27,-2.775921263447013
11:42:27,-0.10009918364232853
11:42:27,2.956588082703899
11:42:27,4.6729228656443125
11:42:27,4.611886778057526
11:42:28,2.78812848096437
11:42:28,-0.14648661020828566
11:42:28,-2.9736781872281988
11:42:28,-4.65094987411307
11:42:29,-4.716868848706798
11:42:29,-2.951705195696956
11:42:29,0.14648661020828566
11:42:29,2.832074464026856
11:42:29,4.494697489890898
11:42:30,4.460517280842298
11:42:30,2.700236514839399
11:42:30,-0.036621652552071414
11:42:30,-2.8418402380407417
11:42:31,-4.589913786526283
11:42:31,-4.580148012512398
11:42:31,-2.8174258030060275
11:42:31,-0.10009918364232853
11:42:31,2.8979934386205843
11:42:32,4.594796673533226
11:42:32,4.565499351491569
11:42:32,2.7148851758602275
11:42:32,0.031738765545128556
11:42:33,-2.7661554894331273
11:42:33,-4.521553368429084
11:42:33,-4.604562447547112
11:42:33,-2.9102006561379414
11:42:34,0.11230640115968567
11:42:34,2.9150835431448843
11:42:34,4.746166170748455
11:42:34,4.736400396734569
11:42:35,2.8589303425650416
11:42:35,-0.10742351415274282
11:42:35,-2.861371786068513
11:42:35,-4.690012970168612
11:42:36,-4.502021820401312
11:42:36,-2.937056534676127
11:42:36,0.08300907911802853
11:42:36,2.951705195696956
11:42:37,4.758373388265812
11:42:37,4.758373388265812
11:42:37,2.8809033340962844
11:42:38,-0.03418020904859999
11:42:38,-2.919966430151827
11:42:38,-4.6729228656443125
11:42:38,-4.5093461509117265
11:42:39,-2.99320973525597
11:42:39,-0.03906309605554284
11:42:39,2.724650949874113
11:42:39,4.663157091630427
11:42:40,4.475165941863127
11:42:40,2.700236514839399
11:42:40,0.1245136186770428
11:42:41,-2.9175249866483557
11:42:41,-4.680247196154727
11:42:41,-4.5850308995193405
11:42:42,-2.793011367971313
11:42:42,0.10009918364232853
11:42:42,2.9150835431448843
11:42:43,4.604562447547112
11:42:43,4.521553368429084
11:42:43,2.919966430151827
11:42:44,-0.00976577401388571
11:42:44,-2.8638132295719845
11:42:44,-4.477607385366598
11:42:45,-4.5386434729533836
11:42:45,-2.968795300221256
11:42:45,0.02929732204165713
11:42:46,2.8125429159990842
11:42:46,4.680247196154727
11:42:46,4.641184100099184
11:42:47,2.8686961165789273
11:42:47,-0.04394598306248569
11:42:47,-2.9541466392004274
11:42:48,-4.694895857175555
11:42:48,-4.63385976958877
11:42:49,-2.758831158922713
11:42:49,0.004882887006942855
11:42:49,2.9956511787594415
11:42:50,4.68513008316167
11:42:50,4.563057907988098
11:42:51,2.7490653849088273
11:42:51,0.046387426565957124
11:42:51,-2.854047455558099
11:42:52,-4.741283283741512
11:42:52,-4.550850690470741
11:42:53,-2.849164568551156
